0 74 148 222 296 370 444 518 592 666 740 814 888 962 1036 1110 1184 1258 1332 1406 1480 1554 1628 1702 1776 1850 1924 1998 2072 2146 2220 2294 2368
21 95 169 243 317 391 465 539 613 687 761 835 909 983 1057 1131 1205 1279 1353 1427 1501 1575 1649 1723 1797 1871 1945 2019 2093 2167 2241 2315 2389
22 96 170 244 318 392 466 540 614 688 762 836 910 984 1058 1132 1206 1280 1354 1428 1502 1576 1650 1724 1798 1872 1946 2020 2094 2168 2242 2316 2390
23 97 171 245 319 393 467 541 615 689 763 837 911 985 1059 1133 1207 1281 1355 1429 1503 1577 1651 1725 1799 1873 1947 2021 2095 2169 2243 2317 2391
24 98 172 246 320 394 468 542 616 690 764 838 912 986 1060 1134 1208 1282 1356 1430 1504 1578 1652 1726 1800 1874 1948 2022 2096 2170 2244 2318 2392
25 99 173 247 321 395 469 543 617 691 765 839 913 987 1061 1135 1209 1283 1357 1431 1505 1579 1653 1727 1801 1875 1949 2023 2097 2171 2245 2319 2393
26 100 174 248 322 396 470 544 618 692 766 840 914 988 1062 1136 1210 1284 1358 1432 1506 1580 1654 1728 1802 1876 1950 2024 2098 2172 2246 2320 2394
27 101 175 249 323 397 471 545 619 693 767 841 915 989 1063 1137 1211 1285 1359 1433 1507 1581 1655 1729 1803 1877 1951 2025 2099 2173 2247 2321 2395
28 102 176 250 324 398 472 546 620 694 768 842 916 990 1064 1138 1212 1286 1360 1434 1508 1582 1656 1730 1804 1878 1952 2026 2100 2174 2248 2322 2396
29 103 177 251 325 399 473 547 621 695 769 843 917 991 1065 1139 1213 1287 1361 1435 1509 1583 1657 1731 1805 1879 1953 2027 2101 2175 2249 2323 2397
30 104 178 252 326 400 474 548 622 696 770 844 918 992 1066 1140 1214 1288 1362 1436 1510 1584 1658 1732 1806 1880 1954 2028 2102 2176 2250 2324 2398
31 105 179 253 327 401 475 549 623 697 771 845 919 993 1067 1141 1215 1289 1363 1437 1511 1585 1659 1733 1807 1881 1955 2029 2103 2177 2251 2325 2399
32 106 180 254 328 402 476 550 624 698 772 846 920 994 1068 1142 1216 1290 1364 1438 1512 1586 1660 1734 1808 1882 1956 2030 2104 2178 2252 2326 2400
33 107 181 255 329 403 477 551 625 699 773 847 921 995 1069 1143 1217 1291 1365 1439 1513 1587 1661 1735 1809 1883 1957 2031 2105 2179 2253 2327 2401
34 108 182 256 330 404 478 552 626 700 774 848 922 996 1070 1144 1218 1292 1366 1440 1514 1588 1662 1736 1810 1884 1958 2032 2106 2180 2254 2328 2402
35 109 183 257 331 405 479 553 627 701 775 849 923 997 1071 1145 1219 1293 1367 1441 1515 1589 1663 1737 1811 1885 1959 2033 2107 2181 2255 2329 2403
36 110 184 258 332 406 480 554 628 702 776 850 924 998 1072 1146 1220 1294 1368 1442 1516 1590 1664 1738 1812 1886 1960 2034 2108 2182 2256 2330 2404
37 111 185 259 333 407 481 555 629 703 777 851 925 999 1073 1147 1221 1295 1369 1443 1517 1591 1665 1739 1813 1887 1961 2035 2109 2183 2257 2331 2405
38 112 186 260 334 408 482 556 630 704 778 852 926 1000 1074 1148 1222 1296 1370 1444 1518 1592 1666 1740 1814 1888 1962 2036 2110 2184 2258 2332 2406
39 113 187 261 335 409 483 557 631 705 779 853 927 1001 1075 1149 1223 1297 1371 1445 1519 1593 1667 1741 1815 1889 1963 2037 2111 2185 2259 2333 2407
40 114 188 262 336 410 484 558 632 706 780 854 928 1002 1076 1150 1224 1298 1372 1446 1520 1594 1668 1742 1816 1890 1964 2038 2112 2186 2260 2334 2408
41 115 189 263 337 411 485 559 633 707 781 855 929 1003 1077 1151 1225 1299 1373 1447 1521 1595 1669 1743 1817 1891 1965 2039 2113 2187 2261 2335 2409
42 116 190 264 338 412 486 560 634 708 782 856 930 1004 1078 1152 1226 1300 1374 1448 1522 1596 1670 1744 1818 1892 1966 2040 2114 2188 2262 2336 2410
43 117 191 265 339 413 487 561 635 709 783 857 931 1005 1079 1153 1227 1301 1375 1449 1523 1597 1671 1745 1819 1893 1967 2041 2115 2189 2263 2337 2411
44 118 192 266 340 414 488 562 636 710 784 858 932 1006 1080 1154 1228 1302 1376 1450 1524 1598 1672 1746 1820 1894 1968 2042 2116 2190 2264 2338 2412
45 119 193 267 341 415 489 563 637 711 785 859 933 1007 1081 1155 1229 1303 1377 1451 1525 1599 1673 1747 1821 1895 1969 2043 2117 2191 2265 2339 2413
46 120 194 268 342 416 490 564 638 712 786 860 934 1008 1082 1156 1230 1304 1378 1452 1526 1600 1674 1748 1822 1896 1970 2044 2118 2192 2266 2340 2414
47 121 195 269 343 417 491 565 639 713 787 861 935 1009 1083 1157 1231 1305 1379 1453 1527 1601 1675 1749 1823 1897 1971 2045 2119 2193 2267 2341 2415
48 122 196 270 344 418 492 566 640 714 788 862 936 1010 1084 1158 1232 1306 1380 1454 1528 1602 1676 1750 1824 1898 1972 2046 2120 2194 2268 2342 2416
49 123 197 271 345 419 493 567 641 715 789 863 937 1011 1085 1159 1233 1307 1381 1455 1529 1603 1677 1751 1825 1899 1973 2047 2121 2195 2269 2343 2417
50 124 198 272 346 420 494 568 642 716 790 864 938 1012 1086 1160 1234 1308 1382 1456 1530 1604 1678 1752 1826 1900 1974 2048 2122 2196 2270 2344 2418
51 125 199 273 347 421 495 569 643 717 791 865 939 1013 1087 1161 1235 1309 1383 1457 1531 1605 1679 1753 1827 1901 1975 2049 2123 2197 2271 2345 2419
52 126 200 274 348 422 496 570 644 718 792 866 940 1014 1088 1162 1236 1310 1384 1458 1532 1606 1680 1754 1828 1902 1976 2050 2124 2198 2272 2346 2420
53 127 201 275 349 423 497 571 645 719 793 867 941 1015 1089 1163 1237 1311 1385 1459 1533 1607 1681 1755 1829 1903 1977 2051 2125 2199 2273 2347 2421
54 128 202 276 350 424 498 572 646 720 794 868 942 1016 1090 1164 1238 1312 1386 1460 1534 1608 1682 1756 1830 1904 1978 2052 2126 2200 2274 2348 2422
55 129 203 277 351 425 499 573 647 721 795 869 943 1017 1091 1165 1239 1313 1387 1461 1535 1609 1683 1757 1831 1905 1979 2053 2127 2201 2275 2349 2423
56 130 204 278 352 426 500 574 648 722 796 870 944 1018 1092 1166 1240 1314 1388 1462 1536 1610 1684 1758 1832 1906 1980 2054 2128 2202 2276 2350 2424
57 131 205 279 353 427 501 575 649 723 797 871 945 1019 1093 1167 1241 1315 1389 1463 1537 1611 1685 1759 1833 1907 1981 2055 2129 2203 2277 2351 2425
58 132 206 280 354 428 502 576 650 724 798 872 946 1020 1094 1168 1242 1316 1390 1464 1538 1612 1686 1760 1834 1908 1982 2056 2130 2204 2278 2352 2426
59 133 207 281 355 429 503 577 651 725 799 873 947 1021 1095 1169 1243 1317 1391 1465 1539 1613 1687 1761 1835 1909 1983 2057 2131 2205 2279 2353 2427
60 134 208 282 356 430 504 578 652 726 800 874 948 1022 1096 1170 1244 1318 1392 1466 1540 1614 1688 1762 1836 1910 1984 2058 2132 2206 2280 2354 2428
61 135 209 283 357 431 505 579 653 727 801 875 949 1023 1097 1171 1245 1319 1393 1467 1541 1615 1689 1763 1837 1911 1985 2059 2133 2207 2281 2355 2429
62 136 210 284 358 432 506 580 654 728 802 876 950 1024 1098 1172 1246 1320 1394 1468 1542 1616 1690 1764 1838 1912 1986 2060 2134 2208 2282 2356 2430
63 137 211 285 359 433 507 581 655 729 803 877 951 1025 1099 1173 1247 1321 1395 1469 1543 1617 1691 1765 1839 1913 1987 2061 2135 2209 2283 2357 2431
64 138 212 286 360 434 508 582 656 730 804 878 952 1026 1100 1174 1248 1322 1396 1470 1544 1618 1692 1766 1840 1914 1988 2062 2136 2210 2284 2358 2432
65 139 213 287 361 435 509 583 657 731 805 879 953 1027 1101 1175 1249 1323 1397 1471 1545 1619 1693 1767 1841 1915 1989 2063 2137 2211 2285 2359 2433
66 140 214 288 362 436 510 584 658 732 806 880 954 1028 1102 1176 1250 1324 1398 1472 1546 1620 1694 1768 1842 1916 1990 2064 2138 2212 2286 2360 2434
67 141 215 289 363 437 511 585 659 733 807 881 955 1029 1103 1177 1251 1325 1399 1473 1547 1621 1695 1769 1843 1917 1991 2065 2139 2213 2287 2361 2435
68 142 216 290 364 438 512 586 660 734 808 882 956 1030 1104 1178 1252 1326 1400 1474 1548 1622 1696 1770 1844 1918 1992 2066 2140 2214 2288 2362 2436
69 143 217 291 365 439 513 587 661 735 809 883 957 1031 1105 1179 1253 1327 1401 1475 1549 1623 1697 1771 1845 1919 1993 2067 2141 2215 2289 2363 2437
70 144 218 292 366 440 514 588 662 736 810 884 958 1032 1106 1180 1254 1328 1402 1476 1550 1624 1698 1772 1846 1920 1994 2068 2142 2216 2290 2364 2438
71 145 219 293 367 441 515 589 663 737 811 885 959 1033 1107 1181 1255 1329 1403 1477 1551 1625 1699 1773 1847 1921 1995 2069 2143 2217 2291 2365 2439
72 146 220 294 368 442 516 590 664 738 812 886 960 1034 1108 1182 1256 1330 1404 1478 1552 1626 1700 1774 1848 1922 1996 2070 2144 2218 2292 2366 2440
73 147 221 295 369 443 517 591 665 739 813 887 961 1035 1109 1183 1257 1331 1405 1479 1553 1627 1701 1775 1849 1923 1997 2071 2145 2219 2293 2367 2441
